Time (s),Amplitude
0.057234,0.006073
0.057279,-0.013092
0.057324,-0.019714
0.057370,-0.012939
0.057415,0.000549
0.057460,0.011688
0.057506,0.010986
0.057551,0.003052
0.057596,-0.000488
0.057642,0.000427
0.057687,0.001312
0.057732,0.000763
0.057778,-0.002686
0.057823,-0.006805
0.057868,-0.007477
0.057914,0.000214
0.057959,0.017029
0.058005,0.027618
0.058050,0.016357
0.058095,-0.008972
0.058141,-0.029419
0.058186,-0.031952
0.058231,-0.011017
0.058277,0.022980
0.058322,0.044128
0.058367,0.034454
0.058413,0.000366
0.058458,-0.036255
0.058503,-0.051361
0.058549,-0.030975
0.058594,0.016357
0.058639,0.061127
0.058685,0.068054
0.058730,0.023163
0.058776,-0.037537
0.058821,-0.060516
0.058866,-0.039825
0.058912,-0.001434
0.058957,0.043182
0.059002,0.070526
0.059048,0.044006
0.059093,-0.017944
0.059138,-0.053802
0.059184,-0.045013
0.059229,-0.014221
0.059274,0.023102
0.059320,0.047180
0.059365,0.036530
0.059410,0.002075
0.059456,-0.026550
0.059501,-0.031403
0.059546,-0.014252
0.059592,0.003571
0.059637,0.008453
0.059683,0.008453
0.059728,0.004272
0.059773,-0.006653
0.059819,-0.007416
0.059864,0.004517
0.059909,0.001434
0.059955,-0.021027
0.060000,-0.031464
0.060045,-0.017212
0.060091,0.005463
0.060136,0.025330
